年份,周次,地区,检测数,阳性数(%),A型(%),A(H1N1)pdm09(%),A(H3N2)(%)
2023,第50周,China,38172,15642(41.0%),12762(81.6%),193(1.5%),12569(98.5%)
2023,第51周,China,36738,13730(37.4%),10370(75.5%),133(1.3%),10237(98.7%)
2023,第52周,China,35311,13799(39.1%),9312(67.5%),100(1.1%),9212(98.9%)
2023,第5周,China,12937,50(0.4%),46(92.0%),13(28.3%),33(71.7%)
2023,第6周,China,14080,472(3.4%),465(98.5%),239(51.4%),226(48.6%)
2023,第7周,China,16298,2546(15.6%),2539(99.7%),2078(81.8%),461(18.2%)
2023,第8周,China,22336,7967(35.7%),7949(99.8%),6176(77.7%),1773(22.3%)
2023,第9周,China,28442,13941(49.0%),13926(99.9%),10262(73.7%),3664(26.3%)
2024,第10周,China,33260,5556(16.7%),1682(30.3%),668(39.7%),1014(60.3%)
2024,第11周,China,33192,4874(14.7%),1599(32.8%),777(48.6%),822(51.4%)
2024,第12周,China,32999,4309(13.1%),1584(36.8%),886(55.9%),698(44.1%)
2024,第13周,China,32279,3608(11.2%),1582(43.8%),1101(69.6%),481(30.4%)
2024,第14周,China,27407,2496(9.1%),1295(51.9%),971(75.0%),324(25.0%)
2024,第15周,China,26662,2085(7.8%),1242(59.6%),988(79.5%),254(20.5%)
2024,第16周,China,26810,1920(7.2%),1381(71.9%),1134(82.1%),247(17.9%)
2024,第17周,China,27661,1923(7.0%),1550(80.6%),1369(88.3%),181(11.7%)
2024,第18周,China,22530,1517(6.7%),1316(86.8%),1165(88.5%),151(11.5%)
2024,第19周,China,26092,1983(7.6%),1817(91.6%),1633(89.9%),184(10.1%)
2024,第1周,China,34235,13075(38.2%),7592(58.1%),119(1.6%),7473(98.4%)
2024,第20周,China,26673,1915(7.2%),1787(93.3%),1604(89.8%),183(10.2%)
2024,第21周,China,26370,1606(6.1%),1500(93.4%),1365(91.0%),135(9.0%)
2024,第22周,China,25768,1507(5.8%),1427(94.7%),1324(92.8%),103(7.2%)
2024,第23周,China,22352,1333(6.0%),1270(95.3%),1180(92.9%),90(7.1%)
2024,第24周,China,21425,1296(6.0%),1251(96.5%),1167(93.3%),84(6.7%)
